´_èCategory,Count,Capital_Project_No,Fiscal_Year,Project_Title,Spent/Encumbered,Budget
SEWER PROJECTS,1,S6950,1993,Developer Constructed Water & Sewer House Connections,"$61,364.16","$180,000.00"
SEWER PROJECTS,1,S6960,2015,Developer Constructed Major Facilities,,"$3,000,000.00"
SIDEWALK PROJECTS,1,K5034,2001,Hunt Club Sidewalk,"$368,674.65","$595,000.00"
SIDEWALK PROJECTS,1,K5035,1998,School Route Pathways/Sidewalks,"$269,570.83","$288,000.00"
SIDEWALK PROJECTS,1,K5036,1998,Routine Sidewalk/Walkway Extensions,"$423,503.89","$520,000.00"
SIDEWALK PROJECTS,1,K5038,1998,Sidewalk Retrofit Program,"$986,212.39","$1,505,000.00"
SIDEWALK PROJECTS,1,K5040,2005,Guilford Road Pedestrian/Bike Improvements,"$317,277.62","$725,000.00"
SIDEWALK PROJECTS,1,K5043,1999,Sidewalk Repair Program,"$3,835,113.74","$4,170,000.00"
SIDEWALK PROJECTS,1,K5054,2003,Roadside Improvement Program,"$3,400,237.01","$3,715,000.00"
SIDEWALK PROJECTS,1,K5061,2007,Pedestrian Plan Projects,"$939,276.45","$2,427,000.00"
SIDEWALK PROJECTS,1,K5062,2010,State Roads Sidewalk Retrofit Program,,"$100,000.00"
SIDEWALK PROJECTS,1,K5066,2014,Bicycle Plan Projects,"$210,694.81","$1,600,000.00"
TRAFFIC IMPROVEMENTS,1,T7087,1999,Street Light Setback Safety Program,"$586,210.50","$600,000.00"
TRAFFIC IMPROVEMENTS,1,T7088,2001,School Crosswalk Improvements,"$370,141.52","$1,193,000.00"
TRAFFIC IMPROVEMENTS,1,T7089,2005,Residential Traffic Calming,"$827,061.17","$1,210,000.00"
TRAFFIC IMPROVEMENTS,1,T7094,2007,Street Lighting Program,"$1,289,474.21","$2,075,000.00"
TRAFFIC IMPROVEMENTS,1,T7101,2008,State/County Shared Intersections,"$301,741.73","$1,400,000.00"
TRAFFIC IMPROVEMENTS,1,T7102,2008,Street Sign Program,"$271,194.61","$600,000.00"
TRAFFIC IMPROVEMENTS,1,T7103,2009,State/County Shared Traffic Control,"$299,763.51","$800,000.00"
TRAFFIC IMPROVEMENTS,1,T7104,2009,Developer/County Signals,"$617,979.25","$1,100,000.00"
TRAFFIC IMPROVEMENTS,1,T7105,2011,Signalization Program,"$461,732.61","$1,760,000.00"
TRAFFIC IMPROVEMENTS,1,T7106,2013,Intersection Improvement Program,"$352,501.40","$1,690,000.00"
TRAFFIC IMPROVEMENTS,1,T7107,2014,Downtown Columbia/Patuxent Branch Trail Extension,"$4,772.94","$50,000.00"
WATER PROJECTS,1,W8146,1985,Acquisition Right of Way Contingency Fund,"$120,852.48","$600,000.00"
WATER PROJECTS,1,W8200,2001,US 29 Water Pump Station,"$1,582,587.19","$2,185,000.00"
WATER PROJECTS,1,W8206,1995,Metallic Pipeline Corrosion Studies,"$3,276,368.19","$3,600,000.00"
WATER PROJECTS,1,W8207,1995,PCCP Study & Failure Mitigation,"$5,776,209.84","$9,250,000.00"
WATER PROJECTS,1,W8218,1998,Water Contingency Fund,"$4,017.70","$650,000.00"
WATER PROJECTS,1,W8220,1998,Shared Water Facility Improvements,"$12,137,389.87","$21,050,000.00"
WATER PROJECTS,1,W8245,2003,Right of Way Restoration Program,"$2,933,932.10","$3,301,000.00"
WATER PROJECTS,1,W8248,2002,Sleeves Relocations & Appurtenances,"$1,859,579.23","$7,650,000.00"
WATER PROJECTS,1,W8262,2004,Guilford Elevated Water Tank,"$283,761.77","$5,530,000.00"
WATER PROJECTS,1,W8263,2004,Marriottsville Road Elevated Tank,"$4,741,121.15","$5,050,000.00"
WATER PROJECTS,1,W8265,2005,US 29 / Broken Land Parkway 30 Inch Water Main,"$2,988,996.84","$4,480,000.00"
WATER PROJECTS,1,W8267,2005,Water Valve Management System,"$1,093,660.75","$1,342,000.00"
WATER PROJECTS,1,W8269,2005,Participation 3rd Zone Water Supply,"$12,593,448.95","$16,000,000.00"
WATER PROJECTS,1,W8274,2007,Scada System Upgrade,"$1,174,856.68","$2,539,000.00"
WATER PROJECTS,1,W8276,2007,Southwest Transmission Main Replacement,"$23,335,109.23","$23,500,000.00"
WATER PROJECTS,1,W8289,2009,Water Meter Battery Replacement,"$7,245,734.40","$10,796,000.00"
WATER PROJECTS,1,W8290,2009,Bureau of Utilities Maintenance Yard Upgrade,"$2,424,219.25","$2,680,000.00"
WATER PROJECTS,1,W8291,2009,Elevated Water Tank Recoating,"$914,143.00","$5,624,000.00"
WATER PROJECTS,1,W8292,2009,Dorsey Run Road Phase B Water Main,"$768,526.38","$1,900,000.00"
WATER PROJECTS,1,W8293,2009,Hickory Glen Drive Water Main Loop,"$169,303.21","$210,000.00"
WATER PROJECTS,1,W8296,2010,US 29 Water Main from MD 108 to Broken Land Parkway,"$1,210,050.98","$27,500,000.00"
WATER PROJECTS,1,W8297,2010,Kindler Road Water Main,"$788,917.83","$1,400,000.00"
WATER PROJECTS,1,W8299,2011,Pine Orchard Water Pumping Station Improvements,"$1,128,614.74","$1,300,000.00"
WATER PROJECTS,1,W8300,2011,Levering Avenue Water Main,"$254,483.60","$3,286,000.00"
WATER PROJECTS,1,W8301,2012,Grace Drive Water Main Loop,"$28,398.78","$420,000.00"
WATER PROJECTS,1,W8304,2015,Columbia Water Pumping Station,,"$240,000.00"
WATER PROJECTS,1,W8306,2013,Sanner Road Water Main Loop,"$20,403.00","$2,000,000.00"
WATER PROJECTS,1,W8307,2013,Broken Land Parkway Water Main,"$180,917.65","$5,000,000.00"
WATER PROJECTS,1,W8308,2013,US29 Water Main from MD32 to MD216,,"$1,490,000.00"
WATER PROJECTS,1,W8309,2014,Mission Rd to MD175 Water Main Loop,"$162,580.00","$1,860,000.00"
WATER PROJECTS,1,W8311,2011,US 40 Water Service Main Replacement,"$2,045,153.72","$2,600,000.00"
WATER PROJECTS,1,W8312,2011,Rockburn Hill (Crossview Road) Water Main,"$691,454.00","$705,000.00"
WATER PROJECTS,1,W8313,2011,Fire Hydrant Inspection Program,"$1,113,767.58","$3,381,000.00"
WATER PROJECTS,1,W8314,2011,Reclaimed Water Implementation Study,"$101,232.14","$150,000.00"
WATER PROJECTS,1,W8315,2012,Water System Elevated Storage and Conveyance Study,"$63,787.00","$300,000.00"
WATER PROJECTS,1,W8316,2013,Ilchester Road Water Main,"$1,913,733.40","$2,550,000.00"
WATER PROJECTS,1,W8317,2013,Elkridge Pump Station,"$129,755.65","$2,880,000.00"
WATER PROJECTS,1,W8318,2013,Montgomery Road Water Main Rehabilitation,"$292,273.51","$5,450,000.00"
WATER PROJECTS,1,W8319,2013,Blandair Park Water and Sewer Extension,"$510,401.99","$515,000.00"
WATER PROJECTS,1,W8320,2013,Whiskey Bottom Pump Station Relocation,"$163,585.89","$1,000,000.00"
WATER PROJECTS,1,W8321,2013,Pirch Way/Aspern Drive Water Replacement,"$1,165,178.73","$1,315,000.00"
WATER PROJECTS,1,W8322,2013,Wilde Lake Water Main Study and Rehabilitation,"$990,360.50","$1,700,000.00"
WATER PROJECTS,1,W8323,2013,Fort Meade Reclaimed Water,"$40,363,692.13","$55,000,000.00"
WATER PROJECTS,1,W8324,2014,Water System Looping/Fire Protection Upgrade,"$80,171.38","$1,500,000.00"
WATER PROJECTS,1,W8325,2014,Reclaimed Water System Development,,"$4,573,000.00"
WATER PROJECTS,1,W8326,2015,Saint Paul Street Water Main,"$38,340.71","$175,000.00"
WATER PROJECTS,1,W8327,2015,Old Lawyer Hill Road Water Supply Main Replacement,,"$950,000.00"
WATER PROJECTS,1,W8328,2015,630 West Zone Pumping Station,,"$1,340,000.00"
WATER PROJECTS,1,W8329,2015,PCCP Study and Failure Mitigation,,"$1,500,000.00"
WATER PROJECTS,1,W8600,2001,Utility Systemic Additions/Improvements,"$7,610,432.97","$12,115,000.00"
WATER PROJECTS,1,W8698,1998,Routine Water Extension Program,"$1,327,825.57","$3,025,000.00"
WATER PROJECTS,1,W8812,2012,Advanced Deposit Large HSE Connections,"$48,000.00","$252,000.00"
WATER PROJECTS,1,W8862,2012,Water House Connections,"$158,251.09","$500,000.00"
WATER PROJECTS,1,W8900,2011,Developer Rebates Water and Sewer,,"$2,000,000.00"
WATER PROJECTS,1,W8913,2013,Developer Rebates Water and Sewer,,"$2,000,000.00"
